Total loss: 1.147690554857254, rpn_cls_loss: 0.693170707821846, rpn_reg_loss: 0.4545198455452919, Accuracy 0.941328125
Total loss: 1.1565887761116027, rpn_cls_loss: 0.6931718945503235, rpn_reg_loss: 0.4634168761968613, Accuracy 0.95140625
Total loss: 1.1835661828517914, rpn_cls_loss: 0.693169184923172, rpn_reg_loss: 0.49039699375629425, Accuracy 0.934609375
Total loss: 1.0824201887845992, rpn_cls_loss: 0.6931620895862579, rpn_reg_loss: 0.38925809904932973, Accuracy 0.88359375
Total loss: 1.1405384838581085, rpn_cls_loss: 0.6931700688600541, rpn_reg_loss: 0.4473684185743332, Accuracy 0.979453125
Validation Accuracy: 0.930265625

Total loss: 1.1597477972507477, rpn_cls_loss: 0.693166252374649, rpn_reg_loss: 0.4665815433859825, Accuracy 0.9537109375
Total loss: 1.1765105760097503, rpn_cls_loss: 0.693166332244873, rpn_reg_loss: 0.4833442401885986, Accuracy 0.95671875
Total loss: 1.1332697975635528, rpn_cls_loss: 0.6931658923625946, rpn_reg_loss: 0.44010390162467955, Accuracy 0.968125
Total loss: 1.135347391963005, rpn_cls_loss: 0.693164250254631, rpn_reg_loss: 0.442183139026165, Accuracy 0.973203125
Total loss: 1.1500458377599716, rpn_cls_loss: 0.6931631803512573, rpn_reg_loss: 0.4568826562166214, Accuracy 0.959453125
Total loss: 1.145787199139595, rpn_cls_loss: 0.6931613963842392, rpn_reg_loss: 0.4526258033514023, Accuracy 0.9394921875
Total loss: 1.157940504550934, rpn_cls_loss: 0.6931614732742309, rpn_reg_loss: 0.4647790309786797, Accuracy 0.966953125
Total loss: 1.1418526434898377, rpn_cls_loss: 0.6931604683399201, rpn_reg_loss: 0.4486921754479408, Accuracy 0.946328125
Total loss: 1.1445977157354355, rpn_cls_loss: 0.6931602722406387, rpn_reg_loss: 0.45143744111061096, Accuracy 0.9701171875
Total loss: 1.181195192337036, rpn_cls_loss: 0.6931596851348877, rpn_reg_loss: 0.4880355077981949, Accuracy 0.9666796875
Total loss: 1.3051068890094757, rpn_cls_loss: 0.693154604434967, rpn_reg_loss: 0.6119522824883461, Accuracy 0.8740234375
Total loss: 1.11528939306736, rpn_cls_loss: 0.6931551831960678, rpn_reg_loss: 0.42213421016931535, Accuracy 0.9105078125
Total loss: 1.0744961857795716, rpn_cls_loss: 0.6931523376703262, rpn_reg_loss: 0.38134385257959363, Accuracy 0.85015625
Total loss: 1.097226514816284, rpn_cls_loss: 0.6931531435251236, rpn_reg_loss: 0.40407337099313734, Accuracy 0.8865625
Total loss: 1.132240686416626, rpn_cls_loss: 0.6931535601615906, rpn_reg_loss: 0.43908712834119795, Accuracy 0.9253125
Total loss: 1.2551659685373306, rpn_cls_loss: 0.6931564331054687, rpn_reg_loss: 0.5620095428824424, Accuracy 0.9550390625
Total loss: 1.2467290592193603, rpn_cls_loss: 0.6931554996967315, rpn_reg_loss: 0.5535735541582107, Accuracy 0.9511328125
Total loss: 1.1476771342754364, rpn_cls_loss: 0.6931545603275299, rpn_reg_loss: 0.45452257424592973, Accuracy 0.954296875
Total loss: 1.179019973874092, rpn_cls_loss: 0.6931547075510025, rpn_reg_loss: 0.48586526334285735, Accuracy 0.94125
Total loss: 1.1182664889097214, rpn_cls_loss: 0.6931538730859756, rpn_reg_loss: 0.4251126167178154, Accuracy 0.9315625
Total loss: 1.164602645635605, rpn_cls_loss: 0.6931546062231064, rpn_reg_loss: 0.4714480429887772, Accuracy 0.9637890625
Total loss: 1.144021521806717, rpn_cls_loss: 0.693154091835022, rpn_reg_loss: 0.4508674296736717, Accuracy 0.9690234375
Total loss: 1.1522188067436219, rpn_cls_loss: 0.6931535315513611, rpn_reg_loss: 0.45906527698040006, Accuracy 0.953515625
Total loss: 1.1393933510780334, rpn_cls_loss: 0.6931527501344681, rpn_reg_loss: 0.44624059468507765, Accuracy 0.935859375
Total loss: 1.1394283056259156, rpn_cls_loss: 0.6931529694795608, rpn_reg_loss: 0.4462753370404243, Accuracy 0.956171875
Total loss: 1.1592209506034852, rpn_cls_loss: 0.6931528502702713, rpn_reg_loss: 0.46606810003519056, Accuracy 0.96765625
Total loss: 1.135338025689125, rpn_cls_loss: 0.6931522750854492, rpn_reg_loss: 0.44218574821949, Accuracy 0.9616796875
Total loss: 1.157456060051918, rpn_cls_loss: 0.6931518173217773, rpn_reg_loss: 0.4643042451143265, Accuracy 0.9388671875
Total loss: 1.1330766385793687, rpn_cls_loss: 0.6931519687175751, rpn_reg_loss: 0.43992467373609545, Accuracy 0.9621484375
Total loss: 1.1521815478801727, rpn_cls_loss: 0.6931516313552857, rpn_reg_loss: 0.4590299081802368, Accuracy 0.9702734375
Total loss: 1.138377820253372, rpn_cls_loss: 0.6931515526771546, rpn_reg_loss: 0.4452262645959854, Accuracy 0.9728515625
Total loss: 1.108237823843956, rpn_cls_loss: 0.6931513804197311, rpn_reg_loss: 0.4150864350795746, Accuracy 0.9816796875
Total loss: 1.3291282439231873, rpn_cls_loss: 0.6931506478786469, rpn_reg_loss: 0.6359776017069817, Accuracy 0.9393359375
Total loss: 1.329408107995987, rpn_cls_loss: 0.6931494021415711, rpn_reg_loss: 0.6362587100267411, Accuracy 0.841640625
Total loss: 1.0947882568836211, rpn_cls_loss: 0.6931482845544815, rpn_reg_loss: 0.4016399690508842, Accuracy 0.8480859375
Total loss: 1.13736108481884, rpn_cls_loss: 0.6931497210264206, rpn_reg_loss: 0.44421136379241943, Accuracy 0.9237109375
Total loss: 1.1112353712320329, rpn_cls_loss: 0.6931498956680298, rpn_reg_loss: 0.4180854833126068, Accuracy 0.927578125
Total loss: 1.0613051944971084, rpn_cls_loss: 0.6931483763456344, rpn_reg_loss: 0.36815681055188176, Accuracy 0.8220703125
Total loss: 1.0699405211210251, rpn_cls_loss: 0.6931489473581314, rpn_reg_loss: 0.37679157048463824, Accuracy 0.8790625
Total loss: 1.1102923530340194, rpn_cls_loss: 0.6931488305330277, rpn_reg_loss: 0.41714351788163184, Accuracy 0.89859375
Total loss: 1.0881476658582687, rpn_cls_loss: 0.6931485044956207, rpn_reg_loss: 0.39499915987253187, Accuracy 0.92375
Total loss: 1.1607988369464874, rpn_cls_loss: 0.6931493616104126, rpn_reg_loss: 0.46764947444200516, Accuracy 0.93390625
Total loss: 1.1606239241361618, rpn_cls_loss: 0.693149631023407, rpn_reg_loss: 0.4674742978811264, Accuracy 0.9558203125
Total loss: 1.3108618021011353, rpn_cls_loss: 0.6931496542692185, rpn_reg_loss: 0.6177121484279633, Accuracy 0.9404296875
Total loss: 1.198604964017868, rpn_cls_loss: 0.6931496125459671, rpn_reg_loss: 0.5054553478956223, Accuracy 0.9691796875
Total loss: 1.2250124764442445, rpn_cls_loss: 0.6931489706039429, rpn_reg_loss: 0.5318635073304177, Accuracy 0.953984375
Total loss: 1.1569766092300415, rpn_cls_loss: 0.693148809671402, rpn_reg_loss: 0.4638278016448021, Accuracy 0.936015625
Total loss: 1.146020160317421, rpn_cls_loss: 0.693148940205574, rpn_reg_loss: 0.45287122428417204, Accuracy 0.9656640625
Total loss: 1.1467824441194534, rpn_cls_loss: 0.6931488341093064, rpn_reg_loss: 0.45363360464572905, Accuracy 0.940703125
Total loss: 1.2090273928642272, rpn_cls_loss: 0.6931489032506942, rpn_reg_loss: 0.5158784827589988, Accuracy 0.9505859375
Total loss: 1.1138046836853028, rpn_cls_loss: 0.693148472905159, rpn_reg_loss: 0.420656211078167, Accuracy 0.9075
Total loss: 1.1112942987680434, rpn_cls_loss: 0.6931484681367874, rpn_reg_loss: 0.4181458327174187, Accuracy 0.9226953125
